#ANO;ESTADO;MUNICIPIO;ESFERA_GOVERNO;MODALIDADE_ENSINO;VALOR_TOTAL_ESCOLAS_PNAE
"2012";"AC";"TARAUACA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";65160,00
"2012";"AC";"TARAUACA";"MUNICIPAL";"PRÉ-ESCOLA";71652,00
"2012";"AC";"XAPURI";"MUNICIPAL";"EJA";13800,00
"2012";"AC";"XAPURI";"MUNICIPAL";"ENSINO FUNDAMENTAL";51960,00
"2012";"AC";"XAPURI";"MUNICIPAL";"PRÉ-ESCOLA";33348,00
"2012";"AL";"AGUA BRANCA";"MUNICIPAL";"CRECHE";8736,00
"2012";"AL";"AGUA BRANCA";"MUNICIPAL";"EJA";25980,00
"2012";"AL";"AGUA BRANCA";"MUNICIPAL";"ENSINO FUNDAMENTAL";231120,00
"2012";"AL";"AGUA BRANCA";"MUNICIPAL";"PRÉ-ESCOLA";57960,00
"2012";"AL";"ANADIA";"MUNICIPAL";"CRECHE";12768,00
"2012";"AL";"ANADIA";"MUNICIPAL";"EJA";6960,00
"2012";"AL";"ANADIA";"MUNICIPAL";"ENSINO FUNDAMENTAL";193320,00
"2012";"AL";"ANADIA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";47460,00
"2012";"AL";"ANADIA";"MUNICIPAL";"PRÉ-ESCOLA";39816,00
"2012";"AL";"ARAPIRACA";"MUNICIPAL";"CRECHE";157584,00
"2012";"AL";"ARAPIRACA";"MUNICIPAL";"EJA";182460,00
"2012";"AL";"ARAPIRACA";"MUNICIPAL";"ENSINO FUNDAMENTAL";1307880,00
"2012";"AL";"ARAPIRACA";"MUNICIPAL";"INDÍGENA";179640,00
"2012";"AL";"ARAPIRACA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";417720,00
"2012";"AL";"ARAPIRACA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - QUILOMBOLA";12780,00
"2012";"AL";"ARAPIRACA";"MUNICIPAL";"PRÉ-ESCOLA";281064,00
"2012";"AL";"ARAPIRACA";"MUNICIPAL";"QUILOMBOLA";115920,00
"2012";"AL";"ATALAIA";"MUNICIPAL";"CRECHE";62496,00
"2012";"AL";"ATALAIA";"MUNICIPAL";"EJA";84240,00
"2012";"AL";"ATALAIA";"MUNICIPAL";"ENSINO FUNDAMENTAL";483180,00
"2012";"AL";"ATALAIA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";159600,00
"2012";"AL";"ATALAIA";"MUNICIPAL";"PRÉ-ESCOLA";98364,00
"2012";"AL";"BARRA DE SANTO ANTONIO";"MUNICIPAL";"EJA";17040,00
"2012";"AL";"BARRA DE SANTO ANTONIO";"MUNICIPAL";"ENSINO FUNDAMENTAL";176340,00
